title_Id;start_Year;title_Type;original_Title;average_Rating;num_Votes;Geners
tt9432978;2019;tvSeries;Kota Factory;9.3;67060;Comedy,Drama
tt2861424;2013;tvSeries;Rick and Morty;9.2;467405;Adventure,Animation,Comedy
tt2560140;2013;tvSeries;Shingeki no Kyojin;9.1;334617;Action,Adventure,Animation
tt11126994;2021;tvSeries;Arcane: League of Legends;9.1;166684;Action,Adventure,Animation
tt4236770;2018;tvSeries;Yellowstone;8.9;105269;Drama,Western
tt2802850;2014;tvSeries;Fargo;8.9;359611;Crime,Drama,Thriller
tt3530232;2014;tvSeries;Last Week Tonight with John Oliver;8.9;85703;Comedy,History,News
tt9544034;2019;tvSeries;The Family Man;8.9;81512;Action,Comedy,Drama
tt10986410;2020;tvSeries;Ted Lasso;8.9;172421;Comedy,Drama,Sport
tt2356777;2014;tvSeries;True Detective;8.9;541963;Crime,Drama,Mystery
tt9335498;2019;tvSeries;Demon Slayer: Kimetsu No Yaiba;8.8;84314;Action,Adventure,Animation
tt7660850;2018;tvSeries;Succession;8.8;121648;Drama
tt8111088;2019;tvSeries;The Mandalorian;8.8;416318;Action,Adventure,Fantasy
tt3398228;2014;tvSeries;BoJack Horseman;8.8;140937;Animation,Comedy,Drama
tt3032476;2015;tvSeries;Better Call Saul;8.8;386028;Crime,Drama
tt2442560;2013;tvSeries;Peaky Blinders;8.8;469338;Crime,Drama
tt2707408;2015;tvSeries;Narcos;8.8;401150;Biography,Crime,Drama
tt4508902;2015;tvSeries;One Punch Man: Wanpanman;8.8;145912;Action,Animation,Comedy
tt5753856;2017;tvSeries;Dark;8.8;349771;Crime,Drama,Mystery
tt5712554;2016;tvSeries;The Grand Tour;8.8;71490;Comedy,Sport,Talk-Show
tt5788792;2017;tvSeries;The Marvelous Mrs. Maisel;8.7;105535;Comedy,Drama
tt5555260;2016;tvSeries;This Is Us;8.7;129256;Comedy,Drama,Romance
